regenerate, damaged, cells 
transfuse, degenerated, pathways
stimulate, devolved, vessels
bypass, mutated, muscles
resequence, exogeneous, bone structure
purge, redundant, memory engrams
recombine, pathogenic, nucleotides
replicate, incompatible, base pairs
reconstruct, primary, bioelectric energy
flood, secondary, chromosomes
replace, alpha-type, dermal tissue
stabilize, beta-type, antibodies
strenghten, gamma-type, synaptic potentials
decontaminate, nano, lymphocytes
modify, medial, brain waves
reset, central, enzymes
merge, ventral, microflora
separate, dorsal, nerves
reactivate, lateral, glands
deactivate, unstable, neurons
